OBJECTID;ROUTE_NUM;ROUTE_NAME;ASSET_OWNER;CLASSIFICATION;INFRASTRUCT_TYPE;STATUS;PROGRAM;LAST_EDITED_DATE;SHAPE_Length
1170;5;PSP Network (Freeway);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.00454533931262264
1171;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2017/18;20/02/2019;0.000972403758060185
1172;7;RSP Network (Mounts Bay Road);WA Government;Regional Route;Pedestrian priority zone;Existing - to be retained; ;20/02/2019;0.000615187713622846
1173;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00426908870139915
1174;21;Kings Park Road;City of Perth;Regional Route;To be determined;Future works;Cycle Plan - 2018/19;20/02/2019;0.0120308501004804
1175;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00425767317387547
1176;0;PSP - Other LG;WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00132327466553889
1177;56;Irwin Street;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2017/18;20/02/2019;0.00113335846694999
1178;14;Murray Street;City of Perth;Integrated Cycling Route;Integrated;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00581189816540535
1179;70;Perth Stadium;WA Government;Pedestrian Priority Zone;Pedestrian priority zone;Current works;N/A - Work by others;20/02/2019;0.00388047126704537
1180;43;Museum Street;City of Perth;Integrated Cycling Route;Integrated;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00102799490247581
1181;67;Claisebrook Cove;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Existing - to be retained;;20/02/2019;0.00527417766332061
1182;69;Heirisson Island;To be determined;Pedestrian Priority Zone;Pedestrian priority zone;Future works; ;20/02/2019;0.00482736801063273
1183;17;Hay Street;City of Perth;Integrated Cycling Route;Integrated;Future works; ;20/02/2019;0.00141585552910716
1184;40;Lake Street;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00335384778059946
1185;15;Goderich Street;City of Perth;City Cycle Route;To be determined;Future works;Cycle Plan - 2020/21;20/02/2019;0.0117976228515545
1186;2;PSP Network (Rail Line);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.000471795021090698
1187;18;Trinity Avenue;City of Perth;City Cycle Route;Shared path;Existing - to be upgraded;N/A - Works Completed;20/02/2019;0.00306015963660817
1188;34;Palmerston Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.0017880853346076
1189;29;Spring Street;City of Perth;Integrated Cycling Route;Integrated;Existing - to be upgraded;Cycle Plan - 2018/19;20/02/2019;0.00221701510230244
1190;51;Howard Street;City of Perth;Integrated Cycling Route;Integrated;Future works; ;20/02/2019;0.0014812948680184
1191;2;Loading...;Loading...;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.018524748789822
1192;58;Loading...;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.012606670379337
1193;17;Hay Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.005035695161409
1194;55;Pier Street;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2018/19;20/02/2019;0.00384383232698717
1195;31;Loading...;Loading...;City Cycle Route;Cycle lane;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00702371401159504
1196;14;Murray Street;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2018/19;20/02/2019;0.00607297626877974
1197;18;Wellington Street;City of Perth;City Cycle Route;Two way dedicated cycleway;Current works;Current works;20/02/2019;0.00514662052546506
1198;2;PSP Network Temporary Alignment;WA Government;Regional Route;Shared path;Temporary alignment;;20/02/2019;0.00275791220638463
1199;60;Victory Terrace;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2017/18;20/02/2019;0.00329189529778405
1200;42;William Street;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00549145623351514
1201;66;East Parade;City of Perth;City Cycle Route;Cycle lane;Existing - to be retained;;20/02/2019;0.00546745749727371
1202;49;Geoffrey Bolten Avenue;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Future works; ;20/02/2019;0.00303627271766611
1203;26;Milligan Street;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2017/18;20/02/2019;0.00337827942418002
1204;2;PSP Network (Rail Line);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.00296233540101328
